Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
March,34,nan,143162.64,,1,5,8,3,8,7,11.1,,Good,1303.01,26519815391546400,17 Years and 11 Months,No,2469923194537420,__10000__,High_spent_Small_value_payments,715741367403555,Good
April,34,Engineer,143162.64,12187.22,1,5,8,3,8,5,9.1,3.0,_,1303.01,3950164810812730,NA,No,2469923194537420,8252162699393920,Low_spent_Medium_value_payments,4265130000000000,Good
May,34,nan,143162.64,12187.22,1,5,8,3,10,5,7.1,3.0,Good,1303.01,3137614957421200,18 Years and 1 Months,No,2469923194537420,4309475278803290,Low_spent_Large_value_payments,8107820000000000,Good
June,34,Engineer,143162.64,12187.22,1,5,8,967,8,6,7.1,3.0,Good,1303.01,39783993458021100,18 Years and 2 Months,No,2469923194537420,25780809942568900,High_spent_Medium_value_payments,9639220000000000,Good
July,34,Engineer,143162.64,12187.22,1,5,8,3,8,6,7.1,3.0,Good,1303.01,38068623627698500,18 Years and 3 Months,No,2469923194537420,26317416316163900,High_spent_Small_value_payments,9685560000000000,Standard
August,34,Engineer,143162.64,12187.22,1,5,8,3,8,6,7.1,3.0,Good,1303.01,3837475294778510,18 Years and 4 Months,No,2469923194537420,__10000__,High_spent_Small_value_payments,895494583180492,Standard
January,54,Entrepreneur,30689.89,26124908333333300,2,5,4,1,0,6,1.99,4.0,Good,632.46,2654422872407300,17 Years and 3 Months,No,16415451659824800,8122885871073610,Low_spent_Large_value_payments,4336050000000000,Standard
February,54,Entrepreneur,30689.89,26124908333333300,2,5,4,1,5,3,1.99,4.0,Good,632.46,35279981779008500,17 Years and 4 Months,No,16415451659824800,12488181990234800,Low_spent_Small_value_payments,40995200000000000,Standard
March,55,Entrepreneur,30689.89,26124908333333300,2,5,4,1,3,9,1.99,4.0,Good,632.46,3230116343180250,17 Years and 5 Months,NM,16415451659824800,8340650880252500,High_spent_Medium_value_payments,41142700000000000,Standard
April,55,Entrepreneur,30689.89_,26124908333333300,2,5,4,1,7,6,-2.01,4.0,Good,632.46,38132348192570000,17 Years and 6 Months,No,16415451659824800,2723340373956680,Low_spent_Small_value_payments,2625000000000000,Standard
May,55,Entrepreneur,30689.89,26124908333333300,2,5,4,1,5,6,-1.01,4.0,Good,632.46,4115431654696940,17 Years and 7 Months,No,16415451659824800,__10000__,Low_spent_Large_value_payments,35937500000000000,Standard
June,55,nan,30689.89,26124908333333300,2,5,4,1,5,6,-3.01,4.0,_,632.46,274454217928553,17 Years and 8 Months,No,16415451659824800,8495284817115960,High_spent_Small_value_payments,4198810000000000,Standard
July,55,Entrepreneur,30689.89,26124908333333300,2,5,4,1,5,,1.99,4.0,Good,632.46,2605639527857160,17 Years and 9 Months,No,16415451659824800,7128367488286930,Low_spent_Large_value_payments,4435500000000000,Standard
August,55,Entrepreneur,30689.89,26124908333333300,2,5,4,-100,4,9,1.99,4.0,Good,632.46,27332514927554200,17 Years and 10 Months,No,16415451659824800,12561725053231200,High_spent_Small_value_payments,37921600000000000,Standard
January,21,Developer,35547.71_,28533091666666600,7,5,5,0,5,,2.58,4.0,Standard,943.86,39797764231999100,30 Years and 8 Months,Yes,0.0,27672539431736200,!@9#%8,28860600000000000,Standard
February,21,Developer,35547.71,,7,5,5,0,9,,2.58,4.0,Standard,943.86,2702036025389690,30 Years and 9 Months,NM,0.0,7444364104999620,High_spent_Medium_value_payments,46088700000000000,Standard
March,21,Developer,35547.71,28533091666666600,7,5,5,-100,5,12,2.58,4.0,Standard,943.86,23462303036448000,30 Years and 10 Months,Yes,0.0,17313865100158300,Low_spent_Medium_value_payments,3921920000000000,Standard
April,21,Developer,35547.71,28533091666666600,7,5,5,0,1,15,2.58,4.0,_,943.86,28924953778098600,30 Years and 11 Months,Yes,0.0,9678548508587440,High_spent_Medium_value_payments,4385450000000000,Standard
May,21,Developer,35547.71,28533091666666600,7,5,5,0,9,17,2.58,4.0,_,943.86,4177618715055710,31 Years and 0 Months,Yes,0.0,6272327834435000,High_spent_Small_value_payments,4826080000000000,Standard
June,21,Developer,35547.71,,7,5,5,0_,5,15,2.58,4.0,Standard,943.86,29217556326688400,31 Years and 1 Months,Yes,0.0,3764363788963990,High_spent_Medium_value_payments,4976870000000000,Standard
July,21,Developer,35547.71,28533091666666600,7,5,5,0,10,15,2.58,4.0,Standard,943.86,26263822692130100,31 Years and 2 Months,Yes,0.0,1810119827315890,Low_spent_Small_value_payments,39431900000000000,Standard
August,21,Developer,35547.71,28533091666666600,7,5,5,-100,1,15,2.58,4.0,Standard,943.86,2586292247432150,31 Years and 3 Months,Yes,0.0,18133090096186900,High_spent_Small_value_payments,36400000000000000,Standard
January,31,Lawyer,73928.46,,4,1288,8,0,12,10,10.14,2.0,Good,548.2,3996268501363900,NA,No,15015.0,9867440994166120,High_spent_Large_value_payments,7401960000000000,Good
February,31,nan,73928.46,5988705000000000,4,5,8,0,8,7,10.14,2.0,Good,548.2,4276986440325710,32 Years and 0 Months,NM,0.0,17293921446875600,Low_spent_Medium_value_payments,705931285531244,Good
March,31,Lawyer,73928.46,5988705000000000,4,5,8,0,8,7,10.14,2.0,Good,548.2,40712186529929500,NA,No,0.0,15005973429800800,High_spent_Medium_value_payments,6988110000000000,Good
April,31,Lawyer,73928.46,5988705000000000,4,5,8,0,8,7,10.14,2.0,Good,548.2,30201657705809200,32 Years and 2 Months,No,0.0,6182023912505830,Low_spent_Small_value_payments,27066800000000000,Good
May,31,Lawyer,73928.46,5988705000000000,4,5,5318,0,11,7,10.14,2.0,_,548.2,26333310426871000,32 Years and 3 Months,No,0.0,17795183568608700,Low_spent_Large_value_payments,6909190000000000,Good
June,31,Lawyer,73928.46,5988705000000000,4,5,8,0,7,7,10.14,2.0,Good,548.2,352754365244368,NA,No,15515.0,23579032503182000,Low_spent_Large_value_payments,6330800000000000,Good
July,31,Lawyer,73928.46,5988705000000000,4,5,8,0,8,4,9.14,2.0,_,548.2,36624791261837600,32 Years and 5 Months,No,0.0,3485093995125940,High_spent_Small_value_payments,51036100000000000,Standard
August,31,Lawyer,73928.46,5988705000000000,4,5,8,0,8,7,10.14,,Good,548.2,3158098966831760,32 Years and 6 Months,No,0.0,4263559025189570,!@9#%8,7962350000000000,Good
January,33,Lawyer,131313.4,11242783333333300,0,1,8,2,0,3,9.34,2.0,Good,352.16,32200508995391900,30 Years and 7 Months,NM,1376446054014210,3781712535207530,High_spent_Medium_value_payments,858462474411158,Good
February,34,Lawyer,131313.4,11242783333333300,0,1,8,2,-1,2,15.34,4.0,Good,352.16,3198371000755860,30 Years and 8 Months,No,1376446054014210,6988732707169380,High_spent_Small_value_payments,5477600000000000,Good
March,34,Lawyer,131313.4,10469207759388800,0,1,8,2,0,3,9.34,4.0,Good,352.16,31803134495092200,30 Years and 9 Months,NM,9112201793459370,18806432109973800,High_spent_Large_value_payments,10385700000000000,Good
April,34,Lawyer,131313.4,10469207759388800,0,1,8,2,0,2,8.34,4.0,Good,352.16,4264578489930630,30 Years and 10 Months,No,23834.0,33743495631738300,High_spent_Medium_value_payments,8991990000000000,Good
May,34,Lawyer,131313.4,10469207759388800,0,1,8,2,0,4,9.34,4.0,Good,352.16,40902517150451600,30 Years and 11 Months,No,32662.0,2633789089320550,High_spent_Large_value_payments,9632550000000000,Good
June,34,Lawyer,131313.4,,0,1,8,-100,0,3_,11.34,4.0,Good,352.16,4198016961054940,31 Years and 0 Months,No,9112201793459370,8656638801207530,High_spent_Large_value_payments,11400700000000000,Standard
July,34_,Lawyer,10909427.0,,0,1,8,2,0,2_,9.34,4.0,Good,352.16,26947565152239800,31 Years and 1 Months,No,9112201793459370,9303918977796660,!@9#%8,32624200000000000,Good
August,34,Lawyer,131313.4,10469207759388800,0,1,8,2,0,2,9.34,4.0,Good,352.16,29187912654166600,31 Years and 2 Months,No,9112201793459370,87052238171816,Low_spent_Medium_value_payments,3961110000000000,Good
January,7580,Media_Manager,34081.38_,,8,7,15,3,30,11,17.13,5.0,Standard,1704.18,24448062746255400,NA,NM,7047833267207260,1624410091967750,Low_spent_Large_value_payments,29819200000000000,Poor
February,30,Media_Manager,34081.38,2611115,8,7,15,3,30,14,17.13,5.0,_,1704.18,35171160021263000,14 Years and 8 Months,Yes,7047833267207260,384369827577036,High_spent_Large_value_payments,39219600000000000,Poor
March,30_,Media_Manager,34081.38,,8,7,15,3,31,14,17.13,5.0,Standard,1704.18,3511155247196590,14 Years and 9 Months,Yes,7047833267207260,1997207654954970,Low_spent_Large_value_payments,2609120000000000,Poor
April,30,nan,34081.38,2611115,8,7,15,3,34,14,21.13,5.0,_,1704.18,2976215930632110,14 Years and 10 Months,Yes,7047833267207260,22055219192916700,Low_spent_Small_value_payments,2600810000000000,Poor
May,30,nan,34081.38,2611115,8,7,15,3,27,14,17.13,5.0,_,1704.18,30206214222610800,14 Years and 11 Months,Yes,7047833267207260,,High_spent_Large_value_payments,3972280000000000,Standard
June,30,Media_Manager,34081.38,2611115,8,7,15,-100,30,14,18.13,5.0,Standard,1704.18,3117087232096110,15 Years and 0 Months,Yes,7047833267207260,,!@9#%8,4106740000000000,Standard
July,30,Media_Manager,34081.38,,8,7,15,3,30,11,17.13,5.0,Standard,1704.18,38438505084064800,15 Years and 1 Months,NM,7047833267207260,5545978063925890,High_spent_Small_value_payments,39517300000000000,Standard
August,30,Media_Manager,34081.38,2611115,8,7,15,3,30,14,17.13,9.0,_,1704.18,3382348834412090,15 Years and 2 Months,Yes,7047833267207260,2932636371091450,High_spent_Medium_value_payments,4113070000000000,Poor
January,23,Doctor,114838.41,98438675,2,5,7,-100,13,11,8.24,3.0,Good,1377.74,3366455429077260,21 Years and 4 Months,No,22689279192154300,21519351594560400,High_spent_Small_value_payments,8023000000000000,Good
February,23,Doctor,114838.41,98438675,2,5,7,3,14,8,_,3.0,Good,1377.74,27626325486769600,21 Years and 5 Months,NM,22689279192154300,21223560220847800,High_spent_Large_value_payments,7852580000000000,Good
March,23,Doctor,114838.41_,,2,5,7,3,11,11,_,3.0,Good,1377.74,3514156730186040,21 Years and 6 Months,NM,22689279192154300,4703857956796370,High_spent_Small_value_payments,5471080000000000,Good
April,23,Doctor,114838.41,,2,5,7,3,11,14,8.24,8.0,Good,1377.74,304590318418306,21 Years and 7 Months,No,22689279192154300,22508204945419,!@9#%8,772411908624267,Good
May,23,Doctor,114838.41,98438675,2,5,7,3,11,11,11.24,8.0,Good,1377.74,29819186633421000,21 Years and 8 Months,No,22689279192154300,6498093641841630,High_spent_Small_value_payments,3676850000000000,Standard
June,24,Doctor,114838.41,98438675,2,5,7,3,13,14,8.24,8.0,_,1377.74,26114213868949600,21 Years and 9 Months,NM,22689279192154300,5463805705230690,!@9#%8,49111300000000000,Good
July,24,Doctor,114838.41,98438675,2,5,7,3,11,,8.24,8.0,Good,1377.74,3176751564697100,21 Years and 10 Months,No,22689279192154300,2154682977385680,High_spent_Medium_value_payments,7920260000000000,Good
August,24_,Doctor,114838.41,98438675,2,5,7,3,11,11,8.24,8.0,Good,1377.74,27813353640375200,21 Years and 11 Months,No,22689279192154300,25457176724837900,High_spent_Large_value_payments,7429220000000000,Standard
January,44,Journalist,31370.8,2825233333333330,0,5,12,2,4,0,5.76,2.0,Good,421.43,2951935255713930,NA,NM,46616129073342000,154352781097101,High_spent_Small_value_payments,34155400000000000,Good
February,44,Journalist,31370.8,2825233333333330,1,6,12,2,2,0,-12.400.000.000.000.000,2.0,Good,421.43,2822048095698550,26 Years and 6 Months,No,46616129073342000,2987444693112260,Low_spent_Small_value_payments,2271630000000000,Good
March,44,Journalist,31370.8,2825233333333330,1,6,12,2,-2,0,17.599.999.999.999.900,5.0,Good,421.43,3104641790511990,26 Years and 7 Months,No,46616129073342000,1408206959818370,Low_spent_Medium_value_payments,3750870000000000,Good
April,44,Journalist,31370.8,2825233333333330,1,6,12,2,1,0,5.76,5.0,_,421.43,30168030403669400,26 Years and 8 Months,No,46616129073342000,2336055264233420,Low_spent_Small_value_payments,2923020000000000,Good
May,44,Journalist,31370.8,2825233333333330,1,6,12,2,1,0,5.76,5.0,_,421.43,2518923173183330,26 Years and 9 Months,No,16415.0,18470057162057600,Low_spent_Small_value_payments,34120700000000000,Good
June,44,Journalist,31370.8,2825233333333330,1,6,12,2,1,0,5.76,5.0,Good,421.43,25502468550245600,NA,No,46616129073342000,13771742489512600,Low_spent_Medium_value_payments,37819000000000000,Good
July,45,Journalist,31370.8,2825233333333330,1,6,12,-100,-1,2,5.76,5.0,Good,421.43,22762202172732500,26 Years and 11 Months,No,46616129073342000,1883949004901680,Low_spent_Small_value_payments,33751200000000000,Good
August,45,Journalist,31370.8,,1,6,12,2,-2,2,5.76,5.0,_,421.43,3756505276771990,27 Years and 0 Months,No,46616129073342000,2526448271968880,Low_spent_Small_value_payments,2732620000000000,Good
January,40,Teacher,33751.27,2948605833333330,5,5,20,3_,16,20,11.0,4.0,Standard,1328.93,3708907564543980,19 Years and 2 Months,NM,6500817428651530,11730669710658500,High_spent_Medium_value_payments,36254600000000000,Standard
February,40,Teacher,33751.27,2948605833333330,5,5,20,3,16,20,11.0,4.0,Standard,1328.93,30908080633467500,19 Years and 3 Months,Yes,6500817428651530,7013107792087970,High_spent_Large_value_payments,3997210000000000,Standard
March,40,nan,33751.27,,5,5,20,3,16,20,11.0,8.0,Standard,1328.93,3803072168039310,19 Years and 4 Months,Yes,6500817428651530,27018258222151500,Low_spent_Large_value_payments,2296700000000000,Standard
April,40,Teacher,33751.27,2948605833333330,5,5,20,3,17,22,11.0,8.0,Standard,1328.93,2340441277698750,19 Years and 5 Months,Yes,6500817428651530,25192561910314700,High_spent_Large_value_payments,44466000000000000,Standard
May,40,Teacher,33751.27,2948605833333330,5,5,20,3_,16,20,8.0,8.0,Standard,1328.93,29073758182245700,19 Years and 6 Months,Yes,6500817428651530,24332968479530500,Low_spent_Small_value_payments,2765230000000000,Standard
June,40,Teacher,33751.27,2948605833333330,5,5,20,3,16,20,11.0,8.0,Standard,1328.93,3278263672653510,19 Years and 7 Months,Yes,6500817428651530,7286008181289450,High_spent_Medium_value_payments,4069920000000000,Standard
July,40,Teacher,33751.27,2948605833333330,5,5,20,3,16,20,11.0,8.0,Standard,1328.93,3558400504980830,19 Years and 8 Months,Yes,6500817428651530,35427169541683600,!@9#%8,4444250000000000,Standard
August,41,Teacher,33751.27,2948605833333330,5,5,20,3,16,17,11.0,8.0,Standard,1328.93_,3113948358493630,NA,Yes,6500817428651530,25969611914778500,High_spent_Large_value_payments,44388300000000000,Standard
January,32,Engineer,88640.24,7266686666666660,3,6,1,2,-1,0,3.51,3.0,Good,950.36,28210617211444600,25 Years and 5 Months,No,13517337097171700,9893176402067010,High_spent_Large_value_payments,732563531674279,Standard
February,33_,Engineer,88640.24,7266686666666660,3,6,433,2,4,2,3.51,3.0,Good,950.36,41036168282350500,25 Years and 6 Months,NM,13517337097171700,157174788304235,High_spent_Large_value_payments,6743210000000000,Good
March,33,Engineer,88640.24,7266686666666660,3,6,1,2,4,0,3.51,3.0,Good,950.36,34670194379227700,25 Years and 7 Months,No,13517337097171700,2981889114624800,High_spent_Medium_value_payments,5433060000000000,Standard
April,33,Engineer,88640.24,7266686666666660,3,6,1,2,4,2,3.51,3.0,Good,950.36,31828535574846600,25 Years and 8 Months,No,13517337097171700,,Low_spent_Small_value_payments,8663610000000000,Standard
May,33,Engineer,88640.24,7266686666666660,3,6,1,2,4,2,3.51,3.0,Good,950.36,34702836927947000,25 Years and 9 Months,No,13517337097171700,27961862207772400,High_spent_Medium_value_payments,5618770000000000,Good
June,33,Engineer,88640.24,7266686666666660,3,6,1,2,4,0,3.51,3.0,Good,950.36,3832363895436970,25 Years and 10 Months,No,13517337097171700,6861262165951830,Low_spent_Small_value_payments,19536900000000000,Good
July,33,Engineer,88640.24_,,3,6,1,2_,4,2,3.51,3.0,_,950.36,25979172803961400,25 Years and 11 Months,No,80357.0,1640748218779100,High_spent_Large_value_payments,6674200000000000,Good
August,33,Engineer,88640.24,7266686666666660,3,6,1,2,-1,,3.51,3.0,Good,950.36,3087079911079540,26 Years and 0 Months,No,13517337097171700,9844195128223790,High_spent_Large_value_payments,7330530000000000,Good
January,35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,5.54,3.0,Standard,179.22,25649246067243400,26 Years and 10 Months,Yes,12439208242092000,24373543739209400,Low_spent_Large_value_payments,37854000000000000,Standard
February,35_,Entrepreneur,54392.16,4766.68,6,4,14,3,10,10,4.54,3.0,Standard,179.22,2940877527612240,26 Years and 11 Months,Yes,12439208242092000,14275186411942600,High_spent_Medium_value_payments,45952400000000000,Standard
March,35,Entrepreneur,54392.16_,,6,4,14,3,15,11,5.54,3.0,_,179.22,3125892846912910,27 Years and 0 Months,NM,12439208242092000,33349568589344500,High_spent_Large_value_payments,5589260000000000,Standard
April,35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,7,0.54,3.0,Standard,179.22,27192587405326000,27 Years and 1 Months,Yes,12439208242092000,4948422277056660,Low_spent_Small_value_payments,14743400000000000,Standard
May,35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,11.54,3.0,Standard,179.22,3459532445612000,27 Years and 2 Months,Yes,12439208242092000,2331184454152270,Low_spent_Small_value_payments,40915700000000000,Standard
June,35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,5.54,3.0,_,179.22,23195025404792600,27 Years and 3 Months,Yes,12439208242092000,6351465605054170,Low_spent_Small_value_payments,7129360000000000,Standard
July,36,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,5.54,7.0,Standard,179.22,35112531991297700,27 Years and 4 Months,Yes,12439208242092000,15811240346721300,Low_spent_Large_value_payments,4641640000000000,Standard
August,36,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8,5.54,7.0,Standard,179.22,328788050668308,27 Years and 5 Months,Yes,12439208242092000,4951178978821160,Low_spent_Small_value_payments,14715800000000000,Standard
January,39,Manager,"8.701.545,00",,6,5,32,7,23,9,8.86,6.0,_,2602.69,24523163853918100,8 Years and 11 Months,Yes,3654819717138710,13066209919444300,Low_spent_Large_value_payments,2722980000000000,Poor
February,39,Manager,"8.701.545,00",51912875,6,5,32,7,23,9,8.86,6.0,Standard,2602.69,3990251759709180,9 Years and 0 Months,Yes,3654819717138710,3471516393565090,Low_spent_Large_value_payments,25065000000000000,Poor
March,39,Manager,8701.545_,51912875,6,5,32,7,23,,8.86,6.0,Standard,2602.69,3647591386327270,9 Years and 1 Months,NM,3654819717138710,456509755447516,Low_spent_Large_value_payments,23971400000000000,Poor
April,39,Manager,"8.701.545,00",51912875,6,5,32,7,22,7,8.86,6.0,Standard,2602.69,3209749227865350,9 Years and 2 Months,Yes,3654819717138710,20390183876957100,Low_spent_Small_value_payments,2849740000000000,Poor
May,39,Manager,"8.701.545,00",51912875,6,5,32,7,22,9,8.86,6.0,Standard,2602.69,37169374491816300,9 Years and 3 Months,Yes,3654819717138710,50486952198712200,Low_spent_Small_value_payments,25487800000000000,Poor
June,39,Manager,"8.701.545,00",51912875,6,5,32,7,23,6,_,6.0,Standard,2602.69,28570031407996300,9 Years and 4 Months,Yes,3654819717138710,52931613407134100,Low_spent_Medium_value_payments,24243300000000000,Poor
July,39,Manager,"8.701.545,00",,6,5,32,7,21,9,_,9.0,Standard,2602.69,3846541540543400,NA,Yes,3654819717138710,30471806299271900,Low_spent_Medium_value_payments,2648930000000000,Poor
August,39,Manager,8701.545_,51912875,6,5,32,7,23,9,8.86,9.0,Standard,2602.69,28815537059010600,9 Years and 6 Months,NM,3654819717138710,,Low_spent_Small_value_payments,2647720000000000,Poor
January,36,Entrepreneur,25546.26,2415855,8,7,14,5,16,14,7.83,5.0,Standard,758.44,3741820916883600,18 Years and 2 Months,NM,1013286373638510,53104599112612000,High_spent_Medium_value_payments,3371520000000000,Standard
February,-500,Entrepreneur,25546.26,,8,7,14,5,16,13,7.83,,Standard,758.44,29711375540929500,18 Years and 3 Months,Yes,1013286373638510,30032323168069000,Low_spent_Small_value_payments,1299340000000000,Standard
March,37,Entrepreneur,25546.26,2415855,8,7,14,5,16,10,7.83,5.0,Standard,758.44,25413616742350900,18 Years and 4 Months,Yes,1013286373638510,9121658676189330,Low_spent_Large_value_payments,3190400000000000,Standard
April,37,Entrepreneur,25546.26_,2415855,8,7,14,5,16,10,7.83,,Standard,758.44,35946278218900600,18 Years and 5 Months,Yes,1013286373638510,837147504914459,High_spent_Medium_value_payments,30654200000000000,Standard
May,37,Entrepreneur,25546.26,2415855,8,7,14,5,16,13,7.83,5.0,_,758.44,282774200145778,18 Years and 6 Months,Yes,1013286373638510,31199934746655600,Low_spent_Small_value_payments,1182580000000000,Standard
June,37,Entrepreneur,25546.26,2415855,8,7,14,5,16,10,7.83,5.0,_,758.44,3458659948959520,NA,Yes,1013286373638510,617307484719951,High_spent_Small_value_payments,33852600000000000,Standard
July,37,Entrepreneur,25546.26,2415855,8,7,14,5,16,14,10.83,5.0,Standard,758.44,30099067241911700,18 Years and 8 Months,Yes,1013286373638510,13030039377019000,Low_spent_Small_value_payments,2999560000000000,Standard
August,37,Entrepreneur,25546.26,2415855,8,7,14,5_,15,13_,7.83,5.0,Standard,758.44,3933348789822520,18 Years and 9 Months,Yes,1013286373638510,18981586133347600,Low_spent_Medium_value_payments,23044100000000000,Standard
January,30,Scientist,31993.78,2942148333333330,6,6,7,2,8,14,6.28,0.0,Standard,818.22,2536959679239190,16 Years and 10 Months,Yes,4514129822463570,8199883505710130,Low_spent_Medium_value_payments,4470750000000000,Standard
February,30,Scientist,31993.78,2942148333333330,6,6,7,2,12,14,6.28,0.0,Standard,818.22,37958569410003300,16 Years and 11 Months,Yes,4514129822463570,__10000__,Low_spent_Small_value_payments,15787000000000000,Standard
March,181,Scientist,31993.78,2942148333333330,6,6,7,2,8,14,10.28,1.0,Standard,818.22,2738010904580050,17 Years and 0 Months,Yes,4514129822463570,26425708850339700,Low_spent_Small_value_payments,2748160000000000,Standard
April,30_,Scientist,31993.78,2942148333333330,6,6,7,2,8,14,6.28,1.0,_,818.22,3415826211876790,17 Years and 1 Months,Yes,4514129822463570,1524523258823160,Low_spent_Medium_value_payments,3766210000000000,Standard
May,30,Scientist,31993.78,2942148333333330,6,6,7,2,8,14_,6.28,1.0,Standard,818.22,30788038803709700,17 Years and 2 Months,Yes,4514129822463570,43470408666891100,High_spent_Medium_value_payments,4556030000000000,Standard
June,31,Scientist,31993.78,,6,6,7,2_,8,14,6.28,1.0,Standard,818.22,34280968719435300,17 Years and 3 Months,Yes,4514129822463570,1127238874320960,High_spent_Small_value_payments,3963500000000000,Standard
July,31,Scientist,31993.78,,6,6,7,-100,8,16,6.28,1.0,Standard,818.22,29503454266447700,17 Years and 4 Months,Yes,4514129822463570,10455723619082600,High_spent_Small_value_payments,4045160000000000,Standard
August,31,Scientist,31993.78,2942148333333330,6,6,7,2,8,16,6.28,1.0,Standard,818.22,36012793772472000,17 Years and 5 Months,Yes,4514129822463570,9758820324481080,Low_spent_Large_value_payments,4214850000000000,Standard
January,20,Accountant,92047.08,,6,7,16,0,16,11,9.13,0.0,Standard,1296.64,3711561494309290,29 Years and 2 Months,Yes,0.0,1546341231395090,!@9#%8,8545250000000000,Standard
February,20,Accountant,92047.08_,7591.59,6,7,16,0,16,11,9.13,4.0,Standard,1296.64,3946775837121130,29 Years and 3 Months,Yes,0.0,7104953806729870,Low_spent_Medium_value_payments,32866400000000000,Standard
